County,State,Temp,YearRange
Autauga County,Alabama,63.5,Lyme Cases 1992-1996
Baldwin County,Alabama,66.5,Lyme Cases 1992-1996
Barbour County,Alabama,64.5,Lyme Cases 1992-1996
Bibb County,Alabama,62.3,Lyme Cases 1992-1996
Blount County,Alabama,60.5,Lyme Cases 1992-1996
Bullock County,Alabama,63.9,Lyme Cases 1992-1996
Butler County,Alabama,63.8,Lyme Cases 1992-1996
Calhoun County,Alabama,60.8,Lyme Cases 1992-1996
Chambers County,Alabama,61.5,Lyme Cases 1992-1996
Cherokee County,Alabama,60.2,Lyme Cases 1992-1996
Chilton County,Alabama,62.4,Lyme Cases 1992-1996
Choctaw County,Alabama,64.1,Lyme Cases 1992-1996
Clarke County,Alabama,64.5,Lyme Cases 1992-1996
Clay County,Alabama,60.4,Lyme Cases 1992-1996
Cleburne County,Alabama,59.8,Lyme Cases 1992-1996
Coffee County,Alabama,64.7,Lyme Cases 1992-1996
Colbert County,Alabama,59.7,Lyme Cases 1992-1996
Conecuh County,Alabama,64.7,Lyme Cases 1992-1996
Coosa County,Alabama,62.0,Lyme Cases 1992-1996
Covington County,Alabama,64.9,Lyme Cases 1992-1996
Crenshaw County,Alabama,63.8,Lyme Cases 1992-1996
Cullman County,Alabama,60.2,Lyme Cases 1992-1996
Dale County,Alabama,65.2,Lyme Cases 1992-1996
Dallas County,Alabama,64.0,Lyme Cases 1992-1996
DeKalb County,Alabama,58.8,Lyme Cases 1992-1996
Elmore County,Alabama,63.4,Lyme Cases 1992-1996
Escambia County,Alabama,65.3,Lyme Cases 1992-1996
Etowah County,Alabama,60.5,Lyme Cases 1992-1996
Fayette County,Alabama,61.3,Lyme Cases 1992-1996
Franklin County,Alabama,59.5,Lyme Cases 1992-1996
Geneva County,Alabama,65.5,Lyme Cases 1992-1996
Greene County,Alabama,63.3,Lyme Cases 1992-1996
Hale County,Alabama,63.3,Lyme Cases 1992-1996
Henry County,Alabama,65.5,Lyme Cases 1992-1996
Houston County,Alabama,66.2,Lyme Cases 1992-1996
Jackson County,Alabama,59.0,Lyme Cases 1992-1996
Jefferson County,Alabama,61.8,Lyme Cases 1992-1996
Lamar County,Alabama,61.3,Lyme Cases 1992-1996
Lauderdale County,Alabama,59.2,Lyme Cases 1992-1996
Lawrence County,Alabama,59.7,Lyme Cases 1992-1996
Lee County,Alabama,62.9,Lyme Cases 1992-1996
Limestone County,Alabama,59.5,Lyme Cases 1992-1996
Lowndes County,Alabama,64.1,Lyme Cases 1992-1996
Macon County,Alabama,63.8,Lyme Cases 1992-1996
Madison County,Alabama,59.4,Lyme Cases 1992-1996
Marengo County,Alabama,64.0,Lyme Cases 1992-1996
Marion County,Alabama,60.1,Lyme Cases 1992-1996
Marshall County,Alabama,59.9,Lyme Cases 1992-1996
